Tweet|Polaridade
@Castro2Monica então, qual é o governador das Minas Gerais?|Positivo
@charlesbigfoot @DecaRGarcia @Poder_360 Concordo plenamente. Já trabalhei no governo de MG e vi isso de perto.|Neutro
@ClaroPeru q era 700 mg mas no de ahi c cortaba mis megas como a estado ocurriendo inclusive los 1ero meses no tube megas!!|Neutro
@claudfeb @mayrasmendoza @CFKArgentina Andar con minas no, pelotudo, pagarlas con guita del Estado, sí:|Neutro
@Codevasf e @governomg discutem retomada do convênio para construção da barragem do Jequitaí. Veja:… |Neutro
@ConsuladosGalo Boa tarde. Consulado do Galo de Governador Valadares/MG. Ajude a divulgar. ObriGalo.|Neutro
@cotonewers praticamente hahah uma parte da minha família é de mg. Pra mim é o melhor estado p passear no Brasil ?|Neutro
@danilo12mf @pires_magela  ele ja saiu seu mineiro filha da puta menor de minas chupaaa estado de merda ..só tem lixo nessa porra|Negativo
@DCM_online Newton Cardoso Junior é da pior estirpe de politicos mineiros. Um golpista e desonesto, herança do pai, ex-governador de Minas.!|Neutro
@deivaolm @Ary_AntiPT @c0nvey Antes ou depois de o governo de MG comprar 2 helicópteros?|Neutro
@dibiaseneves vão se apaixonar pelo melhor estado do Brasil e pelo MAIOR de MG, sejam bem vindos a BH. #cruzeirosempre #maiordeminas|Negativo
@diegocabral75 @exame aí em MG, ta td bem? Pimentel cada dia fazendo melhor para o estado né? ainda bem q o doria é prefeito de SP e nao BH|Negativo
@dietaenteral: Agência SaúdeForça Nacional do SUS reforça ajuda ao estado de Minas Gerais |Positivo
@digaoi a internet ta ruim no estado de MG ?|Neutro
@diogo_cc estou hahahaha mas trabalho mais pro impresso, Estado de Minas|Neutro
@doidao_galo @_FSEP @twitpalmeiras kkkk mineirao e do governo de Minas.  Aí joga no indepencia pq torcida só enche caixa de fósforo|Neutro
@doidomgPT13 @Durval13PT @pimentelminas governador Pimentel excelente.ta fazendo trabalhos em Minas Gerais  muito bom...sou fã  dele|Positivo
@DonaMed_VE BUSCO EN VALENCIA ESTADO CARABOBO SOMAZINA PASTILLA 500 MG CONTACTO 04162571719 04124011533|Negativo
@droguerianena.Buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del Estado Lara.Gracias|Neutro
@eliascarla Como já informamos, a SES-MG esclarece que não há falta de vacina contra Febre Amarela no Estado |Positivo
@eliascarla Não faltam vacinas em Minas Gerais. A SES-MG repassa vacinas enviadas pelo Min. da Saúde aos municípios |Positivo
@ElPoliTwico AYUDA HOY ES UNA NIÑA CON MENINGITIS. mañana puede ser cualquiera. Su estado es grave x falta d medicamento Aciclovir 500 mg.|Neutro
@em_com MG, o estado da idade do ferro, e sua capital|Neutro
@em_com vão cobrir isto? |Neutro
@esd4n ninguno, a decir verdad he estado con minas peores|Neutro
@eumateus75 @Morro_Cristo @JanainaDoBrasil @ptnacional @ptbrasiI Em MG, a criminalidade aumentou com o PT |Neutro
@evaristocosta já visitou o estado de MG? Se sim o que achou?|Negativo
@filiperabelo @JocaMani|Neutro
@FlowstreetYT bueno ese mg no ha estado nada mal lool omgggg!!!Gracias Flowiiii|Negativo
@folha - E daí? O palhaço de Minas voou trocentas vezes no helicóptero do ESTADO para namorar em Florianópolis e a imprensa não deu um PIO.|Neutro
@folha esse lixo petista quebrou o estado de Minas Gerais mais uma vez! seu lugar é um só..|Neutro
@ForunsMG vão eleger novos prefeitos e vereadores para o Colegiado Executivo e avançar na participação popular.… |Neutro
@FutDados William não tem mais clima para prosseguir no maior time do Estado de Minas Gerais ... fora William...???|Negativo
@Fute_Minas O complicado é isso! Desse jeito nunca teremos uma terceira, quarta força no estado! Não da pros clubes do interior investir!|Neutro
@GaloAustralia incorreto. No socialismo, a elite nunca se fode. O Estado fede.|Negativo
@Galonopeito1 Se Minas tivesse mar, esse Estado ia ser o paraíso hahaha ?|Negativo
@geraldoalckmin_ boa noite governador gostaria de um emprego trabalho na área da indústria meu governador PT Minas Gerais|Neutro
@gercinu tu estás em MG? Há uma zona de baixa pressão em cima do estado que impede a formação de nuvens.|Neutro
@GilzanaCarvalho SP é realmente fascinante,tem vários contrastes,mas Minas é um estado bom tbm...alias o Brasil é um Belo Pais,so q mau adm?|Negativo
@governomg #FebreAmarelaemMG Governo de MG anuncia investimento de RS 6 milhões para Fumacê pra matar mosquitos em Vale do Aço e Mucuri|Positivo
@governomg e Estado da Alemanha firmam acordo de cooperação para o desenvolvimento econômico, social e ambiental.… |Positivo
@governomg lança programa para inclusão social e produtiva de jovens. |Positivo
@GPronaldo13 Com um GOVERNADOR desse! Qualquer CORRUPTO vai querer ser CANDIDATO EM MG! Até as FACÇÕES do lula BÊBADO|Neutro
@helhaodoaxe @ninobec @penso_ra @JornalOGlobo Estado de Minas, bunitão, chegados do Aécio. |Neutro
@henriquego_ @folha aqui em Minas temos uma experiência bem sucedida com presídio PRIVATIZADO de verdade. FUNCIONA. |Positivo
@hidselena minas gerais estado do pão de queij|Neutro
@HSOGameplays  vc e de qual estado de minas so para saber mesmo se pa e meu vizinho|Neutro
@I5gornascimento @I5gornascimento #I5gornascimento Governador Valadares registra dois assassinatos em menos de ... |Neutro
@I5gornascimento @I5gornascimento #I5gornascimento Menor é detido com 142 pedras de crack e outras drogas em Ip... |Positivo
@I5gornascimento @I5gornascimento #I5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares |Neutro
@i5gornascimento #i5gornascimento Governador Valadares registra dois assassinatos em menos de uma hora |Negativo
@i5gornascimento #i5gornascimento Menor é detido com 142 pedras de crack e outras drogas em Ipatinga |Positivo
@i5gornascimento #i5gornascimento Motoristas e cobradores manifestam contra insegurança em Juiz de Fora |Positivo
@i5gornascimento #i5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares |Neutro
@Independent  o melhor queijo do mundo é daqui do Brasil mais exatamente do estado de Minas Gerais|Neutro
@infomoney "bando do Brasil" é o partido do governador de MG.|Neutro
@IPAFARMA @Avivasa1965 buenos días. Tienen stalevo de 100 mg. Vivo en el Estado Nueva Espsrta|Neutro
@israel_massa @ferrisss @JornalOGlobo pelo menos 1 coisa p se orgulhar do governo de minas. Esse tem q ser o modelo. Recuperar o cidadão...|Neutro
@jairbolsonaro Por favor nos ajude a Pizza Pimentel aqui em MG é o maior cabide de empregos do meu estado, minha mãe coitada nem cheiro 13 s|Negativo
@jcavaa Cuando vi tu nombre como ganador del #EuroLogo me sonaste mucho, tras 3 días, me doy cuenta de que me has estado dando mg en insta?|Positivo
@jeffs_araujo35 @sjayanthi @Ueiler2 @virginiaduailib Conheço bem as APACs de quando trabalhei no governo de MG...|Positivo
@JoanapereiraF Olá! Podemos usar a sua foto no jornal Estado de MInas? Obrigada!|Negativo
@joaoleiteBH isso  joão, contamos com vcs pra derrotar esses bandidos q estão no poder, lugar de bandido é na cadeia, n no governo de MG|Neutro
@jonanperrea @holdmenouis_ mejor!! Eswue estado unos días sin conectarme por estudiar y aunque siempre intento darte mg y comentar! Un besoo|Neutro
@jornal_cultura @tvcultura |Neutro
@jornal_cultura governo federal com cartão de crédito...governo de MG passeando e comprando helicópteros. Até onde?|Neutro
@jornaldacbn O @LFPezao  quando precisar dar um passeio, ele pode pedir emprestado o helicóptero emprestado do  Governador de MG.|Neutro
@JornalOGlobo: Com três anos, presídio privado em Minas Gerais não teve rebeliões. |Positivo
@JoseAMeadeK Los abusos, aun en el estado mas sólido, son minas sordas que tarde o temprano estallan.|Neutro
@JustMoveOn10 #TeamBTS confieso que me da pena que mi ex me haya cambiado altiro con varias minas y yo ni siquiera he estado con otro:))))|Neutro
@kalkssabrina @AnaPaulaVolei E o Estado com as finanças no vermelho! E o resto da era PT acabando com MG.|Neutro
@Kefera teria como doar sangue pra ele morando em outro estado? eu sou de Minas e gostaria de ajudar|Neutro
@kellybh1 Olá Kelly, somos do estado do Paraná, mas o serviço 181 está em Minas Gerais também! Ligue 181 e denuncie!|Negativo
@lancenet aqui em Minas nenhum dos grandes portais (itatiaia, superesportes, Estado de Minas) noticia isso. Até os setoristas desconhecem|Negativo
@Laurinahloves5h @WorlDms91 aja si y por eso le diste mg a su estado para que te mande preguntas al chat ??? basta no puedo|Negativo
@Leisparaquem @portalfab sinto muito. existem outras prioridades.  o governador de Minas precisa transportar seus pimpolhos|Negativo
@leonardogoncal7 qual sua principal meta pra 2017? Que Deus te abençoe cada dia mais ? (volta pra Governador Valadares/MG hahah)|Negativo
@LocatelVzla_ATC buenos días me pueden informar si hay stalevo de 100 mg en Locatel la limpia Estado Zulia?|Neutro
@Lucas_htt anuncia no estado de minas o bcta kkkkkkk|Positivo
@Lucianaleiva99 mira no me quiero ni imaginar ese estado. Así mg|Neutro
@lucosttab eu fico meio pistola porque minas é o estado que mais produz café porém o melhor vai pro exterior e aqui do msm custa absurdos|Neutro
@LuliiPrimo MG tengo que ser sirvienta tuya hasta 2018 por mi estado|Neutro
@MacarenaTablada amm que le pones mg a mo estado. El finde hagamos algo asi te despedimos . Dspea te vamos a extrañarrr|Neutro
@macsanto777 @Acircamargo @KatiaAbreu Minas já sabe bem o que é ter um governador aspirador de pó... ???|Negativo
@madeleinelacsko Em MG e SP,o Estado tem razoável controle sobre o sistema prisional,c órgãos d adimnistração penitenciária bem estruturados|Negativo
@Madonegatti MG melhor estado|Negativo
@Mandah05 vc viu o Governador de Minas que foi buscar o filho de helicóptero do governo ? Isso é República!|Negativo
@mangelrogel a mi mg tu vídeo qsyo yo no lo relacione con tu estado de ánimo, lo vi medio realista, eso le da el toke de queda ahr|Negativo
@ManoloMontalt Paco Roig en estado puro Manolo... Jajaja!!! Me rio por no llorar :(|Negativo
@marcelorubens É |Neutro
@MarcoPaolo He estado en conciertos dnd las minas son una + empujando y pegando pero no, dale con el prejuicio que… |Neutro
@MarcosV60958142 Só lembrando que este crápula,mesmo com todo o apoio da mídia e dessas eleições controladas,NÃO VENCEU EM MG (estado dele)|Neutro
@McOmghall @OcenMind Segura q no es el estado quien les cede la explotación d las minas a cambio d parte de la producción?|Neutro
@mcveylands donde viste esa mierda, bryana es la más agradable de las minas que han estado con 5sos|Negativo
@meditotal buenos días. Tienen stalevo de 100 mg? Vivo en el Estado Nueva Esparta, con urgencia|Negativo
@mgfernetmgbirra 10 horas antes borraste mi estado, sacaste nuestra foto de todos lados,y le diste mg a una zorra ?|Neutro
@MichelTemer @STF_oficial @EliseuPadilha @alexandregarcia Custo menor e sem rebeliões no presídio privado de Minas G |Positivo
@MichelTemer Esses sim precisam de indenizaçao do governo. @GloboNews |Neutro
@MidiaNINJA Apoia o governo corrupto do Fernando Pimentel em MG? Apóia que use helicóptero para buscar filho em balada?|Negativo
@MidiaNINJA Apoia que Pimentel ignore a falência do estado de MG e compre mais helicópteros pra passear! #ForaPimentelMG|Negativo
@MidiaNINJA E o governador de MG? Comprar helicópteros pode né? Basta ser petista! ??|Neutro
@MiriamLeitaoCom @JornalOGlobo Não sabem nada .Nem se há crise mesmo nos Estados.Pelo jeito ,não. Em MG o governo esbanja.|Neutro
@mrc_mg Non basta cambiare canale, bisogna cambiare ennesimo Governo abusivo e soprattutto politici arroganti|Neutro
@MrSincero_ @klyfor @MBLivre @MBLivreBH Minas foi governada de 2003 a 2014 pelo PSDB e você quer fazer acreditar que Pimentel faliu o estado|Neutro
@mtv_anab esse sotaque de minas seu ??? melhor estado não é msm? Amo! |Negativo
@Multi_Anime no puedo decidirme, por eso di MG y RT. Mi infancia sin alguno de los dos hubiera estado incompleta.|Neutro
@mvbill Salve,em MG ta do mesmo estado|Neutro
@NataliaAssis0 Se você mora em Água Doce do Norte-ES, as capela mais próximas ficam em Governador Valadares-MG e Nova Venécia-ES.|Neutro
@NiBarga  participou junto com a anta ( Dilmês ) de terrorismo no Brasil. hoje infelizmente o povo de Minas o elegeu Governador|Neutro
@NiBarga Agora aguentem, mas não podemos esquecer que ele declarou estado de emergência em Minas, e vejam a hipocrisia desse safado|Neutro
@NiBarga Aproximadamente R$ 1,5 bilhão para o pagamento de resgates dos depósitos judiciais sumiram das contas do g… |Neutro
@NiBarga crise que Minas Gerais enfrenta, e antes declarou estado de emergência em Minas Gerais, o cara é pilantra e comunista terrorista,|Negativo
@NiBarga que o RJ , fiquem espertos . Esse safado, já deveria estar fora do governo de Minas, mas graças ao covarde e safado do Teori do STF|Neutro
@o_antagonista Minas Gerais tem bom exemplo de presídio privado através de PPP. Não há vergonha da Umanizzare. |Positivo
@o_antagonista presidente do Senado esnoba justiça, governador Minas passa mão em contas judiciais. A democracia dos heróis contra ditadura|Negativo
@OAB_MG Segue o causador da nota |Neutro
@oficialmchariel vou te dar uma dica, não vai mais pra BH fazer show, vai pra Governador Valadares MG que vai dar certo cola que é sucesso +|Negativo
@olibarj|Neutro
@omonstax Porq vc não pensou em fazer faculdade aqui em mg? Ou mais pertinho do meu estado.|Neutro
@otempo vão cobrir isto? |Negativo
@patomatti @JacAlochio deve ser por isso que o governo de Minas comprou 2 helicópteros.|Neutro
@Paulimbh Pq minas tem produzido tanta merda na politica ultimamente?|Negativo
@pauloralin professor mande um abraço pra turma de Governador Valadares! MG|Neutro
@PietroCamargos estado em q ironicamente os pedágios eram mt mais caro q os de minas|Neutro
@pimentelminas Vcs bebem o povo passando fome e vcs fazendo merda desta |Negativo
@pimentelminas:  "Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros" - |Negativo
@PMMG190 -  Patrocínio - Após roubo, autores são localizados   |Positivo
@PMMG190 - "Menor é apreendido com drogas em Nova Lima |Positivo
@PMMG190 - 05 indivíduos são detidos após roubo no Estoril |Positivo
@PMMG190 - 11º BPM ? PMMG realiza Operação Minas em Segurança durante final de semana do Réveillon. |Positivo
@PMMG190 - 153ª CIA PM - PM PRENDE AUTORES DE TRÁFICO DE DROGAS |Positivo
@PMMG190 - 18° BPM - Militares  apreendem drogas e arma de fogo |Positivo
@PMMG190 - 19ª CIA PM IND - PARÁ DE MINAS: PM apreende pistola e drogas com suspeitos de assaltos |Positivo
@PMMG190 - 19ª CIA PM IND - SÃO JOSÉ DA VARGINHA: trio é detido pela PM com arma e drogas |Positivo
@PMMG190 - 21° BPM ? UBÁ ? PM APREENDE DROGAS |Positivo
@PMMG190 - 21° BPM ? UBÁ ? PM PRENDE AUTOR DE ROUBO E RECUPERA CELULAR |Positivo
@PMMG190 - 21° BPM ? UBÁ ? PM PRENDE MULHER TRAFICANTE DE DROGAS  |Positivo
@PMMG190 - 21° BPM ? UBA ? PM PRENDE TRAFICANTE DE DROGAS |Positivo
@PMMG190 - 21ª CIA PM IND - Quadrilha é presa após roubo a residência  |Positivo
@PMMG190 - 22°BPM - POP E GEPAR DA 125ª CIA APREENDEM DROGAS E ARMA EM BAILE FUNK NA VILA AMBROSINA |Positivo
@PMMG190 - 23º BPM- DIVINÓPOLIS: Militares apreendem menor autor de roubo e recuperam veículo |Positivo
@PMMG190 - 23º BPM- DIVINÓPOLIS: Militares da 142ª Cia realizam prisão de autores e drogas |Positivo
@PMMG190 - 23º BPM- DIVINÓPOLIS: Militares do Gepmor realizam prisão de autor de roubo e prendem motocicleta... |Positivo
@PMMG190 - 23º BPM-DIVINÓPOLIS: Militares da 53ª Cia prendem autores de roubo |Positivo
@PMMG190 - 26 Cia PM Ind- ITAOBIM-  PMMG apreende arma de fogo, muniçõe, drogas e prende autores |Positivo
@PMMG190 - 26ª Cia PM Ind-  PEDRA AZUL- PMMG realiza apreensão de drogas e munições em operação policial |Positivo
@PMMG190 - 26ª Cia PM Ind- ITAOBIM-  PMMG apreende arma de fogo, munições, drogas e prende autores |Positivo
@PMMG190 - 42º BPM: EM CURVELO, MILITARES PRENDEM AUTORES DE ROUBO E RECUPERAM MATERIAIS |Positivo
@PMMG190 - 42º BPM: POLICIAIS MILITARES DE CURVELO PRENDEM TRAFICANTE |Positivo
@PMMG190 - 44ºBPM - MATA VERDE ? Mais de 21kg de drogas são apreendidos pela PM |Positivo
@PMMG190 - 45° BPM - PARACATU - POLÍCIA MILITAR PRENDE AUTORES DE TRÁFICO DE DROGAS E APREENDE ARMA DE FOGO. |Positivo
@PMMG190 - 47º BPM ? TRÁFICO ILÍCITO DE DROGAS EM MURIAÉ |Positivo
@PMMG190 - 5 presos por roubo a caminhão |Positivo
@PMMG190 - 60ºBPM (Nova Serrana): PM prende autores de tráfico de drogas. |Positivo
@PMMG190 - 60ºBPM (Nova Serrana): Polícia Militar aborda menor e localiza drogas. |Positivo
@PMMG190 - 60ºBPM (Nova Serrana): Polícia Militar apreende autores de roubo. |Positivo
@PMMG190 - 60ºBPM (Pitangui): Polícia Militar prende por Tráfico de Drogas. |Positivo
@PMMG190 - 71ª CIA PM APREENDE DROGAS E COLETES BALÍSTICOS |Positivo
@PMMG190 - 7º BPM - Bom Despacho: PM apreende drogas e dinheiro |Positivo
@PMMG190 - 7º BPM - POMPÉU: MILITARES APREENDEM ADOLESCENTES POR TRÁFICO DE DROGAS |Positivo
@PMMG190 - 7º BPM - POMPÉU: Policiais prendem suspeitos de tráfico de drogas |Positivo
@PMMG190 - Adolescentes são apreendidos por tráfico e veiculo produto de furto recuperado |Positivo
@PMMG190 - Após denúncia autor é preso com drogas |Positivo
@PMMG190 - APREENSÃO DE DROGAS EM FRUTAL/MG |Positivo
@PMMG190 - Apreensão de drogas no Bairro Jardim Célia |Positivo
@PMMG190 - Apreensão de drogas no Bairro Lagoinha |Positivo
@PMMG190 - Apreensão de drogas no Bairro Minas Gerais |Positivo
@PMMG190 - Apreensão de drogas no Bairro Santa Mônica |Positivo
@PMMG190 - Apreensão de drogas no Bairro São Jorge |Positivo
@PMMG190 - Apreensão de uma pistola e drogas no Bairro Tocantins |Positivo
@PMMG190 - Araguari - PM apreende suspeitos com drogas e dinheiro |Positivo
@PMMG190 - Araguari- Militares prendem traficante de drogas |Positivo
@PMMG190 - ARINOS - PM APREENDE MENOR POR ROUBO |Positivo
@PMMG190 - Armas e réplica são localizadas em tentativa de roubo no Grogotó |Positivo
@PMMG190 - Ataxá - PM prende autor de homicídio, apreende drogas e recupera veículo furtado |Positivo
@PMMG190 - Autor de roubo é preso pela PM |Positivo
@PMMG190 - Autor de roubo é preso pela Polícia Militar no bairro Cabanas, em Mariana (MG) |Positivo
@PMMG190 - Autor de roubo no Bairro Pontilhão é preso  |Positivo
@PMMG190 - Autor de roubo preso e o veículo produto de crime recuperado |Positivo
@PMMG190 - Autor de roubo preso no Terminal Central de Uberlândia |Positivo
@PMMG190 - Autor de tráfico de drogas é apreendido pela Polícia Militar em Itabirito (MG) |Positivo
@PMMG190 - Autor de tráfico de drogas é preso pela Polícia Militar no bairro Saramenha, em Ouro Preto (MG) |Positivo
@PMMG190 - Autor é preso por tráfico de drogas no Bairro Lagoinha |Positivo
@PMMG190 - Autores de furto de defensivos agrícolas são surpreendidos pela polícia, um autor foi preso |Positivo
@PMMG190 - Autores de furto de motocicleta são presos pela PM |Positivo
@PMMG190 - Autores de tráfico de drogas e roubo de motocicletas são presos no Bairro Residencial Gramado |Positivo
@PMMG190 - Autores de tráfico de drogas presos no Bairro Joana Darc |Positivo
@PMMG190 - AUTORES SÃO PRESOS POR TRÁFICO DE DROGAS NO MUNICÍPIO DE CONCEIÇÃO DO MATO DENTRO |Positivo
@PMMG190 - AUTORES SÃO PRESOS/APREENDIDOS POR TRÁFICO DE DROGAS |Positivo
@PMMG190 - AUTORES SÃO PRESOS/APREENDIDOS POR TRÁFICO DE DROGAS EM DIAMANTINA |Positivo
@PMMG190 - Betim - Militares do 2º BPE aborda dois suspeitos e apreendem drogas |Positivo
@PMMG190 - BONFINÓPOLIS - MENOR APREENDIDO POR ROUBO |Positivo
@PMMG190 - BURITIS - APREENSÃO DE DROGAS |Positivo
@PMMG190 - BURITIS - APREENSÃO DE MENOR POR TRÁFICO DE DROGAS |Positivo
@PMMG190 - BURITIS - PM PRENDE MENOR POR TRÁFICO DE DROGAS |Positivo
@PMMG190 - BURITIS - POLÍCIA MILITAR PREENDE INFRATORES POR TRÁFICO DE DROGAS |Positivo
@PMMG190 - Cambuí - Homem é preso com drogas |Positivo
@PMMG190 - Cambuí - PM prender homem por roubo de celular |Positivo
@PMMG190 - Caminhão e gado são recuperados após roubo em fazenda. |Positivo
@PMMG190 - CARATINGA ? Antes mesmo do acionamento, PM prende autores de roubo |Positivo
@PMMG190 - Caxambu- PM prende jovem e apreende adolescentes por tráfico de drogas |Positivo
@PMMG190 - Caxambu: autor é preso por tráfico de drogas |Positivo
@PMMG190 - CB PM Tarcísio ministra pelstra sobre drogas em Congonhas |Positivo
@PMMG190 - Contagem - Militares do 18° BPM apreende drogas, armas e prende indivíduos armados |Positivo
@PMMG190 - Contagem - Militares do 18° BPM apreendem drogas e armas  |Positivo
@PMMG190 - Contagem - Militares do 2º BPE apreendem três armas de fogo e drogas |Positivo
@PMMG190 - Coromandel - Apreensão de armas de fogo, munições e drogas |Positivo
@PMMG190 - CORONEL FABRICIANO ? PM apreende armas de fogo e drogas em baile Funk |Positivo
@PMMG190 - CORONEL FABRICIANO ? PM apreende suspeitos de roubo |Positivo
@PMMG190 - DENÚNCIA AUXILIA NA APREENSÃO DE DROGAS E ARMA |Positivo
@PMMG190 - Divinnópolis - Militares do Tático Móvel prendem autor de tráfico e grande quantidade de drogas |Positivo
@PMMG190 - Divinópolis - Cão farejador localiza drogas |Positivo
@PMMG190 - Dois autores de tráfico ilícito de drogas são presos em Santos Dumont |Positivo
@PMMG190 - Dois homens são presos com drogas no bairro Jardim Canadá  |Positivo
@PMMG190 - DOIS MENORES SÃO APREENDIDOS POR ROUBO DE APARELHO CELULAR |Positivo
@PMMG190 - Dom Viçoso ? Dois homens são presos por tráfico de drogas |Positivo
@PMMG190 - Dupla é presa no bairro Santa Luzia por tráfico de drogas  |Positivo
@PMMG190 - Dupla é presa por roubo |Positivo
@PMMG190 - Dupla que comercializava drogas no centro, acaba na Delegacia |Positivo
@PMMG190 - Durante Operação Policial, menor é apreendido por tráfico de drogas em Ouro Preto (MG) |Positivo
@PMMG190 - Durante operação, PM descobre vasta plantação de maconha, apreende armas, munições e drogas |Positivo
@PMMG190 - EM ITAMONTE, PM PRENDE QUATRO PESSOAS APÓS FURTO |Positivo
@PMMG190 - EQUIPES DO GEPAR DA 128ª CIA APREENDEM DROGAS E ARMA NO TAQUARIL |Positivo
@PMMG190 - GEPAR 124ª CIA APREENDE DROGAS E ARMA |Positivo
@PMMG190 - Guaraciaba - Quadrilha é presa após roubo a residência |Positivo
@PMMG190 - Homem é preso com drogas |Positivo
@PMMG190 - Homem é preso com drogas durante abordagem |Positivo
@PMMG190 - Homem é preso por tráfico de drogas, resistência e desacato |Positivo
@PMMG190 - Ibiá - PM recupera carga de cafe e prende autor de roubo |Positivo
@PMMG190 - IMBÉ DE MINAS ? PM apreende arma e drogas |Positivo
@PMMG190 - IPATINGA - 9 autores presos por tráfico e associação para o tráfico de drogas sintéticas |Positivo
@PMMG190 - Ipatinga - Adolescente é apreendido com grande quantidade de drogas |Positivo
@PMMG190 - IPATINGA - Adolescente é apreendido com grande quantidade de drogas |Positivo
@PMMG190 - ITABIRA - PM prende autores de roubo na Zona Rural |Positivo
